status,name,company_profile,head,short_name,location,edrpou
припинено,УНІКРЕДИТ БАНК ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,65.12.1 КОМЕРЦІЙНІ БАНКИ,РУССО ФЕДЕРІКО,УНІКРЕДИТ БАНК ТЗОВ,"43016, Волинська обл., місто Луцьк, ВУЛ.ДАНИЛА ГАЛИЦЬКОГО, будинок 14",21753123
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СХІДНО-ПРОМИСЛОВИЙ КОМЕРЦІЙНИЙ БАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,СКРІПНІК НАТАЛІЯ ОЛЕКСІЇВНА,СХІДНО-ПРОМИСЛОВИЙ БАНК,"91047, Луганська обл., місто Луганськ, Жовтневий район, ВУЛИЦЯ 26 БАКІНСЬКІХ  КОМІСАРОВ, будинок 155",23478833
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УКРАЇНСЬКИЙ КОМУНАЛЬНИЙ БАНК""",64.19 Інші види грошового посередництва,МАТВІЄНКО АНДРІЙ АНАТОЛІЙОВИЧ,"ПАТ ""УКРКОМУНБАНК""","91055, Луганська обл., місто Луганськ, Ленінський район, ВУЛИЦЯ ШЕВЧЕНКА В.В., будинок 18 А",24191588
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""НОВИЙ""",64.19 Інші види грошового посередництва,СТАРЦЕВА ТЕТЯНА ВОЛОДИМИРІВНА ,"АКБ ""НОВИЙ""","49000, Дніпропетровська обл., місто Дніпро, Кіровський район, ПРОСПЕКТ КАРЛА МАРКСА, будинок 93",19361982
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ПРИВАТБАНК""",64.19 Інші види грошового посередництва,ШЛАПАК ОЛЕКСАНДР ВІТАЛІЙОВИЧ,"ПАТ КБ ""ПРИВАТБАНК""","01001, м.Київ, Печерський район, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 1Д",14360570
припинено,"АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""ПРЕМ'ЄРБАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ГОЛЕМБОВСЬКА ЛЮДМИЛА СТЕПАНІВНА,"АКБ ""ПРЕМ'ЄРБАНК""","49000, Дніпропетровська обл., місто Дніпро, Бабушкінський район,  ВУЛИЦЯ МЕЧНИКОВА, будинок 18",20026838
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК  КРЕДИТ ДНІПРО""",64.19 Інші види грошового посередництва,МАЛИНСЬКА ОЛЕНА ОЛЕКСАНДРІВНА,"ПАТ ""БАНК КРЕДИТ ДНІПРО""","01601, м.Київ, Печерський район, ВУЛИЦЯ МЕЧНИКОВА, будинок 3",14352406
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ЗЕМЕЛЬНИЙ КАПІТАЛ""",64.19 Інші види грошового посередництва,ПЕТРЕНКО ОЛЕКСАНДР ФЕДОРОВИЧ,"ПАТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","49101, Дніпропетровська обл., місто Дніпро, Кіровський район, ПРОСПЕКТ ПУШКІНА, будинок 15",20280450
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЮНІОН СТАНДАРД БАНК""",64.19 Інші види грошового посередництва,КІЧУК ОЛЕГ ІВАНОВИЧ,"ПАТ ""ЮСБ БАНК""","65012, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ ГІМНАЗИЧНА, будинок 21",20305925
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНИЙ БАНК ""РАДАБАНК""",64.19 Інші види грошового посередництва,СТОЯНОВ СЕРГІЙ БОРИСОВИЧ,"ПАТ ""АБ ""РАДАБАНК""","49054, Дніпропетровська обл., місто Дніпро, Кіровський район,  ПРОСПЕКТ ОЛЕКСАНДРА ПОЛЯ, будинок 46",21322127
припинено,"Акціонерно-комерційний банк інвестування програм реконструкції і розвитку - ""ЗАВОДБАНК""",,,,"320003, м. Дніпропетровськ, просп. Калініна, 75",23024763
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КЛАСИКБАНК""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,НЕХОМ'ЯЖ СЕРГІЙ ОЛЕКСІЙОВИЧ,"ТОВ ""КЛАСИКБАНК""","49044, Дніпропетровська обл., місто Дніпро, Жовтневий район, ПРОСПЕКТ КАРЛА МАРКСА, будинок 39А",23926846
