status,name,company_profile,head,short_name,location,edrpou
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БГ БАНК""",64.19 Інші види грошового посередництва,ЛУНЬО ІЛЛЯ ВІКТОРОВИЧ,"ПАТ ""БГ БАНК""","04112, м.Київ, Шевченківський район, ВУЛИЦЯ ДЕГТЯРІВСЬКА, будинок 48",20717958
в стані припинення,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРАЇНСЬКИЙ ПРОМИСЛОВИЙ БАНК""",64.19 Інші види грошового посередництва,РАЄВСЬКИЙ КОСТЯНТИН ЄВГЕНІЙОВИЧ,"ТОВ ""УКРПРОМБАНК""","01133, м.Київ, Печерський район, БУЛЬВАР ЛЕСІ УКРАЇНКИ, будинок 26",19357325
в стані припинення,"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""НАЦІОНАЛЬНИЙ СТАНДАРТ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ШЕВЕЛЬ ВІТАЛІЙ МИХАЙЛОВИЧ,"ВАТ КБ "" НАЦІОНАЛЬНИЙ СТАНДАРТ ""","04080, м.Київ, Подільський район, ВУЛИЦЯ ФРУНЗЕ, будинок 47",19020301
припинено,"АКЦІОНЕРНИЙ БАНК "" СТАРОКИЇВСЬКИЙ БАНК """,65.12.1 КОМЕРЦІЙНІ БАНКИ,ЯРЕМЕНКО ЮРІЙ ВІТАЛІЙОВИЧ,"АБ "" СТАРОКИЇВСЬКИЙ БАНК ""","01033, м.Київ, Голосіївський район, ВУЛИЦЯ МИКІЛЬСЬКО-БОТАНІЧНА, будинок 6/8",19024948
зареєстровано,"АКЦІОНЕРНИЙ БАНК ""АЛЛОНЖ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ТИМЧЕНКО ВОЛОДИМИР ІЛЛІЧ,"АБ  ""АЛЛОНЖ""","01001, м.Київ, Печерський район, ВУЛИЦЯ ШОТА РУСТАВЕЛІ, будинок 5",14362014
припинено,"Акціонерний комерційний ""Торгово-Промисловий банк""",,,,"252136, м. Київ, вул. Пархоменка, 8-а",19361574
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""РОДОВІД БАНК""",64.19 Інші види грошового посередництва,ШЕВЧЕНКО  АНДРІЙ МИКОЛАЙОВИЧ,"АТ ""РОДОВІД БАНК""","04136, м.Київ, Подільський район, ВУЛИЦЯ ПІВНІЧНО-СИРЕЦЬКА, будинок 1-3",14349442
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БТА БАНК""",64.19 Інші види грошового посередництва,БЕЗВУШКО ЄВГЕН ОЛЕКСАНДРОВИЧ,"ПАТ ""БТА БАНК""","01032, м.Київ, Голосіївський район, ВУЛИЦЯ ЖИЛЯНСЬКА, будинок 75",14359845
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВТБ БАНК""",64.19 Інші види грошового посередництва,ВАЙСМАН  КОСТЯНТИН МИХАЙЛОВИЧ,"ПАТ ""ВТБ БАНК""","01004, м.Київ, Шевченківський район, БУЛЬВАР ТАРАСА ШЕВЧЕНКА/ВУЛИЦЯ ПУШКІНСЬКА, будинок 8/26",14359319
припинено,"Комерційний банк ""Укруніверсалбанк""",,,,"256400, м. Біла Церква, вул. Росьова, 6",22199930
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""УНІВЕРСАЛ БАНК""",64.19 Інші види грошового посередництва,СТАРОМІНСЬКА ІРИНА ОЛЕКСАНДРІВНА,"ПАТ ""УНІВЕРСАЛ БАНК""","04114, м.Київ, Оболонський район, ВУЛИЦЯ АВТОЗАВОДСЬКА, будинок 54/19",21133352
припинено,"Акціонерний комерційний банк харчової промисловості України ""Укрхарчопромбанк"" АК",,,,"252001, м. Київ, вул. Б.Грінченка, 1",19357590
припинено,"Комерційний акціонерний банк ""ДЕНДІ""",,,,"252006, м. Київ, вул. Щорса, 15, корпус 1",19358419
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ КОМЕРЦІЙНИЙ БАНК ""ЕКСПОБАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ГЕТЬМАНЕНКО ЮРІЙ ІВАНОВИЧ,"""КБ""ЕКСПОБАНК""","01135, м.Київ, Шевченківський район, ВУЛИЦЯ ЗОЛОТОУСТІВСЬКА, будинок 2/4",9322299
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АЙБОКС БАНК""",64.19 Інші види грошового посередництва,ХЕЙЛО ГАЛИНА МИХАЙЛІВНА,"ПАТ ""АЙБОКС БАНК""","03150, м.Київ, Голосіївський район, ВУЛИЦЯ ДІЛОВА, будинок 9 А",21570492
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЕРЖАВНИЙ ЕКСПОРТНО-ІМПОРТНИЙ БАНК УКРАЇНИ""",64.19 Інші види грошового посередництва,ГРИЦЕНКО ОЛЕКСАНДР ВІКТОРОВИЧ,"АТ ""УКРЕКСІМБАНК""","03150, м.Київ, Голосіївський район, ВУЛИЦЯ АНТОНОВИЧА, будинок 127",32112
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ГРІН БАНК""",64.19 Інші види грошового посередництва,ШКУРКО ВІКТОР МИХАЙЛОВИЧ,"ПАТ ""ГРІН БАНК""","04107, м.Київ, Шевченківський район, ВУЛИЦЯ БАГГОВУТІВСЬКА, будинок 17-21",13550848
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""АРКАДА""",64.19 Інші види грошового посередництва,ПАЛИВОДА КОСТЯНТИН ВІТАЛІЙОВИЧ,"ПАТ АКБ ""АРКАДА""","01001, м.Київ, Печерський район, ВУЛИЦЯ ОЛЬГИНСЬКА, будинок 3",19361386
припинено,"Державно-акціонерний спеціалізований імпортно-експортний банк України ""УКРСПЕЦІМПЕКСБАНК""",,,,"252162, м. Київ, вул. Ярославів Вал, 36а",19358282
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК НАРОДНИЙ КАПІТАЛ""",64.19 Інші види грошового посередництва,АНДРОНОВ ОЛЕГ БОРИСОВИЧ,"АТ ""НК БАНК""","03067, м.Київ, Солом'янський район, БУЛЬВАР ІВАНА ЛЕПСЕ, будинок 4",20026740
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО БАНК ""КОНТРАКТ""",64.19 Інші види грошового посередництва,ШКУРКО ВІКТОР МИХАЙЛОВИЧ,"ПАТ БАНК ""КОНТРАКТ""","04071, м.Київ, Подільський район, ВУЛИЦЯ  ВОЗДВИЖЕНСЬКА, будинок 58",19361746
припинено,"Акціонерний комерційний банк ""Незалежність""",,,,"252039, м. Київ, просп. Червонозоряний, 123",19359784
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""КИЇВ""",64.19 Інші види грошового посередництва,КІЧУК ОЛЕГ ІВАНОВИЧ,"ПАТ ""АКБ ""КИЇВ""","01030, м.Київ, Шевченківський район, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 16-22",14371869
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ЮНЕКС БАНК""",64.19 Інші види грошового посередництва,ДОВГАЛЬСЬКА ГАННА ВЛАДИСЛАВІВНА,"ПАТ ""ЮНЕКС БАНК""","04070, м.Київ, Подільський район, ВУЛИЦЯ ПОЧАЙНИНСЬКА, будинок 38",20023569
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК""",64.19 Інші види грошового посередництва,КІЗЯК РУСЛАН МИРОНОВИЧ,"АТ ""КІБ""","04053, м.Київ, Шевченківський район, ВУЛИЦЯ БУЛЬВАРНО-КУДРЯВСЬКА, будинок 6",21580639
в стані припинення,"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО БАНК ""БІГ ЕНЕРГІЯ""",64.19 Інші види грошового посередництва,ВАСІЛЬЧЕНКО ЮРІЙ ЛЕОНІДОВИЧ,"ВАТ БАНК ""БІГ ЕНЕРГІЯ""","01032, м.Київ, Шевченківський район, ВУЛИЦЯ КОМІНТЕРНУ, будинок 15",20023463
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНИЙ БАНК ""УКООПСПІЛКА""",64.19 Інші види грошового посередництва,КАШУТА ДМИТРО ЄВГЕНОВИЧ,"АБ ""УКООПСПІЛКА""","01001, м.Київ, Печерський район, ВУЛИЦЯ  ХРЕЩАТИК, будинок 7/11",21536532
припинено,Іпотечний комерційний акціонерний банк,,,,"252080, м. Київ, вул. Межигірська, 83",19369239
в стані припинення,"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""СХІДНО-ЄВРОПЕЙСЬКИЙ БАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,МИРОНЕНКО ВІКТОР ПЕТРОВИЧ,"АКБ ""СЄБ""","01042, м.Київ, Печерський район, БУЛЬВАР ДРУЖБИ НАРОДІВ, будинок 17/5",19364130
припинено,"Акціонерний комерційний банк ""Росток Банк""",,,,"03680, м. Київ, бульвар І.Лепсе, 4",21595828
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНИЙ БАНК ""СИНТЕЗ""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,ЧЕЧІЛЬ ЄВГЕН МИКОЛАЙОВИЧ,"АБ ""СИНТЕЗ""","01042, м.Київ, Печерський район, ВУЛИЦЯ ІВАНА КУДРІ, будинок 5",21564391
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ВЕЛЕС""",64.19 Інші види грошового посередництва,РАБЧУК СЕРГІЙ ВІТАЛІЙОВИЧ,"АТ ""БАНК ВЕЛЕС""","03061, м.Київ, Солом'янський район, ВУЛИЦЯ ГЕРОЇВ СЕВАСТОПОЛЯ, будинок 48",21593719
припинено,"Акціонерний банк ""МЕТА-БАНК""",,,,"252054, м. Київ, вул. Оболонська, 47",21554560
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК ""ТК КРЕДИТ""",64.19 Інші види грошового посередництва,ШУЛЬГА ГАННА ОЛЕГІВНА,"АТ КБ ""ТК КРЕДИТ""","01054, м.Київ, Шевченківський район, ВУЛИЦЯ ДМИТРІВСЬКА, будинок 18/24",20050951
припинено,"Закрите акціонерне товариство ""Інноваційно-промисловий банк""",,,,"03150, м. Київ, вул. Федорова, 4",21684161
припинено,"Акціонерний комерційний банк ""ОЛБанк""",,,,"253002, м. Київ, вул. М.Раскової, 19",21568696
припинено,"Акціонерний банк ""Еталон""",,,,"252114, м. Київ, вул. Вишгородська51/1 (пошта-Прорізна,6)",2349410
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""БАНК ФОРУМ""",64.19 Інші види грошового посередництва,ЛАРЧЕНКО ІРИНА МИКОЛАЇВНА ,"ПАТ "" БАНК ФОРУМ""","02100, м.Київ, Дніпровський район, БУЛЬВАР ВЕРХОВНОЇ РАДИ , будинок 7",21574573
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНИЙ БАНК ""ЕКСПРЕС-БАНК""",64.19 Інші види грошового посередництва,ДІДОВЕЦЬ ВЛАДИСЛАВ ВАЛЕНТИНОВИЧ,"АБ ""ЕКСПРЕС-БАНК""","03049, м.Київ, Солом'янський район, ПРОСПЕКТ ПОВІТРОФЛОТСЬКИЙ, будинок 25",20053145
припинено,"Акціонерний банк ""Кримкредит""",,,,"333004, м. Сімферополь, вул. Куйбишева, 60/24",2068095
в стані припинення,"""ЄВРОПЕЙСЬКИЙ БАНК РОЗВИТКУ ТА ЗАОЩАДЖЕНЬ""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,БОНДАР ЮРІЙ МИКОЛАЙОВИЧ,"ВАТ""ЄБРЗ""","95000, Автономна Республіка Крим, місто Сімферополь, Залізничний район, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, будинок 5",20685262
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО БАНК ""МОРСЬКИЙ""",64.19 Інші види грошового посередництва,МАТВІЄНКО АНДРІЙ АНАТОЛІЙОВИЧ,"ПАТ БАНК ""МОРСЬКИЙ""","99001, м.Севастополь, Нахімовський район, ВУЛИЦЯ БРЕСТСЬКА, будинок 18, корпус А",20748213
припинено,"КОМЕРЦІЙНИЙ АКЦІОНЕРНИЙ БАНК ""КРИМ-БАНК""",,,,"95000, ВУЛ.КРИЛОВА, Б.37, СІМФЕРОПОЛЬ, АР КРИМ, УКРАЇНА",20679755
припинено,"Акціонерний банк ""Абсолют""",,,,"м. Сімферополь, вул. Гагаріна, 14-а",2070535
припинено,"Акціонерно-Комерційний Банк ""ЯЛТАБАНК""",,,,"м. Ялта, вул. Руданського, 8",2073574
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ВІЕС БАНК""",64.19 Інші види грошового посередництва,ПОХОДЗЯЄВА ІРИНА ВІКТОРІВНА,"ПАТ ""ВІЕС БАНК""","79000, Львівська обл., місто Львів, Галицький район, ВУЛ.ГРАБОВСЬКОГО, будинок 11",19358632
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНО-КОМЕРЦІЙНИЙ БАНК ""ЛЬВІВ""",64.19 Інші види грошового посередництва,ГАВРИЛЯК ІГОР ВОЛОДИМИРОВИЧ,"ПАТ АКБ ""ЛЬВІВ""","79008, Львівська обл., місто Львів, Галицький район, ВУЛИЦЯ СЕРБСЬКА, будинок 1",9801546
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КРЕДОБАНК""",64.19 Інші види грошового посередництва,ШАТКОВСКІ ҐЖЕҐОЖ СТАНІСЛАВ,"ПАТ ""КРЕДОБАНК""","79026, Львівська обл., місто Львів, Франківський район, ВУЛ.САХАРОВА, будинок 78",9807862
в стані припинення,"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""СЕЛЯНСЬКИЙ КОМЕРЦІЙНИЙ БАНК ""ДНІСТЕР""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ЯРЕМЧИШИН ІГОР БОГДАНОВИЧ,"ВАТ СКБ ""ДНІСТЕР""","79017, Львівська обл., місто Львів, Личаківський район, ВУЛИЦЯ ПЕРЕЯСЛАВСЬКА, будинок 6-А",19159542
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ОКСІ БАНК""",64.19 Інші види грошового посередництва,РОМАНЮК АРСЕН ВІКТОРОВИЧ,"ПАТ ""ОКСІ БАНК""","79019, Львівська обл., місто Львів, Галицький район, ВУЛИЦЯ ГАЗОВА, будинок 17",9306278
припинено,"Акціонерний комерційний ""Генеральний Інвестиційний Банк""",,,,"270026, м. Одеса, Воронцовський пров., 8",1904694
припинено,"Комерційний банк ""Контакт Банк""",,,,"270005, м. Одеса, вул. Хвоpостіна, 45",20042809
припинено,"Акціонерний комерційний банк ""Аркадія""",,,,"270121, м. Одеса, вул. Ленінської Іскpи, 53",20935846
в стані припинення,"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""ОДЕСА-БАНК""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,АЙМЕДОВ ВОЛОДИМИР КАКАБАЄВИЧ,"АКБ ""ОДЕСА-БАНК""","65029, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ КНЯЗІВСЬКА, будинок 32",19361350
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""МАРФІН БАНК""",64.19 Інші види грошового посередництва,ГОЙ КОСТЯНТИН ГЕННАДІЙОВИЧ,"ПАТ ""МАРФІН БАНК"" ","68003, Одеська обл., місто Чорноморськ, ПРОСПЕКТ МИРУ, будинок 28",21650966
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ БАНК ""ПОРТО-ФРАНКО""",64.19 Інші види грошового посередництва,КРАСЮК ІГОР ІВАНОВИЧ,"АБ ""ПОРТО-ФРАНКО""","65026, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ ПУШКІНСЬКА , будинок 10",13881479
припинено,"АКЦІОНЕРНИЙ БАНК ""ПІВДЕННИЙ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,МОРОХОВСЬКИЙ ВАДИМ ВІКТОРОВИЧ,"АБ""ПІВДЕННИЙ""","65014, Одеська обл., місто Одеса, Приморський район, ПРОВУЛОК САБАНСЬКИЙ, будинок 2",20953647
припинено,"АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""ІНВЕСТБАНК""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,РЕЗНІЧЕНКО ОЛЕНА МИКОЛАЇВНА,"АКБ ""ІНВЕСТБАНК""","65012, Одеська обл., місто Одеса, Приморський район, ВУЛИЦЯ ВЕЛИКА АРНАУТСЬКА, будинок 2-Б",20935649
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ІМЕКСБАНК""",64.19 Інші види грошового посередництва,МАТВІЄНКО  АНДРІЙ АНАТОЛІЙОВИЧ,"АТ ""ІМЕКСБАНК""","65039, Одеська обл., місто Одеса, Приморський район, ПРОСПЕКТ ГАГАРІНА, будинок 12-А",20971504
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ФІНРОСТБАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ІВАНІЧЕВ АРТЕМ СЕРГІЙОВИЧ,"ТОВ ""ФІНРОСТБАНК""","65104, Одеська обл., місто Одеса, Київський район, ПРОСПЕКТ АКАДЕМІКА ГЛУШКА, будинок 13",14366762
припинено,"Акціонерний банк ""Арманд""",,,,"270079, м. Одеса, пл.Куликове поле,1",20949114
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""ФІНБАНК""",64.19 Інші види грошового посередництва,ІРКЛІЄНКО ЮРІЙ ПЕТРОВИЧ,"ПАТ ""ФІНБАНК""","65032, Одеська обл., місто Одеса, Приморський район, ПРОСПЕКТ ШЕВЧЕНКА, будинок 4 А",20041917
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""МІСТО БАНК""",64.19 Інші види грошового посередництва,ДЕМЧЕНКО ІВАН АНАТОЛІЙОВИЧ,"АТ ""МІСТО БАНК""","65009, Одеська обл., місто Одеса, Приморський район, ФОНТАНСЬКА ДОРОГА, будинок 11",20966466
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АВТОКРАЗБАНК""",64.19 Інші види грошового посередництва,ТРЕТЯК ВОЛОДИМИР ОЛЕКСАНДРОВИЧ,"ПАТ "" АКБ БАНК""","39600, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ КИЇВСЬКА, будинок 8",20046323
припинено,"АКЦІОНЕРНИЙ КОМЕРЦІЙНИЙ БАНК ""МТ-БАНК""",65.12.1 КОМЕРЦІЙНІ БАНКИ,ГРЕБІНСЬКИЙ ЛЕОНІД АНДРІЙОВИЧ,"АКБ ""МТ-БАНК""","39600, ВУЛ.ЛЕНІНА, 18/14, М.КРЕМЕНЧУК, КРЮКІВСЬКИЙ РАЙОН, ПОЛТАВСЬКА ОБЛАСТЬ, УКРАЇНА",21986488
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ПОЛТАВА-БАНК""",64.19 Інші види грошового посередництва,ПЕРЕВЕРЗЕВ ВІТАЛІЙ СТАНІСЛАВОВИЧ,"ПАТ ""ПОЛТАВА-БАНК""","36020, Полтавська обл., місто Полтава, Октябрський район, ВУЛИЦЯ  ПИЛИПА ОРЛИКА, будинок 40 А",9807595
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК""",64.19 Інші види грошового посередництва,ВАСИЛЬЧЕНКО ОЛЕКСАНДР ВАЛЕРІЙОВИЧ,"ПАТ ""ПФБ""","39627, Полтавська обл., місто Кременчук, Автозаводський район, КВАРТАЛ 278, будинок 22-Б",25292831
припинено,"Комерційний банк ""Зоря""",,,,"265702, с. Зоря, вул. Сморжівська, 45",13986250
припинено,"Комерційний банк ""Княжий""",,,,"266000, м. Рівне, вул. Кавказька, 9,(лікв ком т.20080,62589)",21094713
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ПРОФЕСІЙНОГО ФІНАНСУВАННЯ""",64.19 Інші види грошового посередництва,ІРКЛІЄНКО ЮРІЙ ПЕТРОВИЧ,"ПАТ ""ПРОФІН БАНК""","01135, м.Київ, Шевченківський район, ВУЛИЦЯ ДМИТРІВСЬКА, будинок 69",9806437
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""АКЦІОНЕРНО-КОМЕРЦІЙНИЙ БАНК ""КАПІТАЛ""",64.19 Інші види грошового посередництва,ІЛЬЧУК ОЛЕКСАНДР ПАВЛОВИЧ,"ПАТ ""АКБ ""КАПІТАЛ""","83001, Донецька обл., місто Донецьк, Ворошиловський район, ВУЛИЦЯ АРТЕМА, будинок 63",13486837
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""БАНК ФАМІЛЬНИЙ""",64.19 Інші види грошового посередництва,ДОЛЖЕНКО ОЛЬГА ВОЛОДИМИРІВНА,"ПАТ ""БАНК ФАМІЛЬНИЙ""","03039, м.Київ, Голосіївський район, ПРОСПЕКТ ГОЛОСІЇВСЬКИЙ, будинок 26-А",20042839
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ПЕРШИЙ УКРАЇНСЬКИЙ МІЖНАРОДНИЙ БАНК""",64.19 Інші види грошового посередництва,ЧЕРНЕНКО СЕРГІЙ ПАВЛОВИЧ,"ПАТ ""ПУМБ""","04070, м.Київ, Подільський район, ВУЛИЦЯ АНДРІЇВСЬКА, будинок 4",14282829
припинено,"ВІДКРИТЕ АКЦІОНЕРНЕ ТОВАРИСТВО АКЦІОНЕРНИЙ БАНК ""ДОНВУГЛЕКОМБАНК""",88.88.8 ІНФОРМАЦІЯ ВВЕДЕНА З РЕЇСТРАЦІЙНОЇ КАРТКИ - ВИД ДІЯЛЬНОСТІ ВІДСУТНІЙ,,,"83000, Донецька обл., місто Донецьк, Ворошиловський район, ВУЛИЦЯ АРТЕМА, будинок 63",9804355
припинено,"Макіївський акціонерний комерційний банк ""ШАХТЕКОНОМБАНК""",,,,"339000, м. Макіївка, пл.Радянська, 2",9801641
припинено,"Комерційний банк ""Паритет""",,,,"м. Донецьк, Ходаківського, 5",20015050
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""УКРАЇНСЬКИЙ БІЗНЕС БАНК""",64.19 Інші види грошового посередництва,БІЛА ІРИНА ВОЛОДИМИРІВНА,"ПАТ ""УКРБІЗНЕСБАНК""","83001, Донецька обл., місто Донецьк, Ворошиловський район, ВУЛИЦЯ АРТЕМА, будинок 125",19388768
припинено,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДОНГОРБАНК""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,КОСЕНКО НАТАЛІЯ ФЕЛІКСІВНА,"ПАТ ""ДОНГОРБАНК""","83086, Донецька обл., місто Донецьк, Ворошиловський район, ВУЛ.АРТЕМА,  Б.38",20365318
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ПРОМЕКОНОМБАНК""",64.19 Інші види грошового посередництва,ВОЛОЩУК ІГОР ГРИГОРОВИЧ,"ПАТ ""КБ ""ПРОМЕКОНОМБАНК""","83062, Донецька обл., місто Донецьк, Ленінський район, ПРОСПЕКТ ЛЕНІНСЬКИЙ, будинок 4",20058668
"зареєстровано, свідоцтво про державну реєстрацію недійсне","АКЦІОНЕРНО-КОМЕРЦІЙНИЙ БАНК ""АЗОВ-БАНК""",,,,"87500, Донецька обл., місто Маріуполь, Жовтневий район, ПРОСПЕКТ ЛЕНІНА, будинок 35",21955111
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УНІКОМБАНК""",65.12.0 ІНШЕ ГРОШОВЕ ПОСЕРЕДНИЦТВО,ШАПОВАЛОВА НЕЛЛЯ МИКОЛАЇВНА,"ТОВ ""УНІКОМБАНК""","83048, Донецька обл., місто Донецьк, Київський район, ВУЛ.ЧЕЛЮСКІНЦІВ,  202,  А",26287625
в стані припинення,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""КОМЕРЦІЙНИЙ БАНК ""ПІВДЕНКОМБАНК""",64.19 Інші види грошового посередництва,СЛАВКІНА МАРИНА АНАТОЛІЇВНА,"ПАТ""КБ ""ПІВДЕНКОМБАНК""","83015, Донецька обл., місто Донецьк, Ворошиловський район, ПРОСПЕКТ ВАТУТІНА, будинок 33-А",19358767
припинено,"Відкрите акціонерне товариство ""Акціонерний комерційний банк ""Західбудгазбанк""",,,,"76000, м. Івано-Франківськ, вул. Hезалежності, 93,а",13641864
зареєстровано,"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО  ""ІДЕЯ БАНК """,64.19 Інші види грошового посередництва,ВЛАСЕНКО МИХАЙЛО ВАЛЕРІЙОВИЧ,"ПАТ ""ІДЕЯ БАНК ""","79008, Львівська обл., місто Львів, Галицький район, ВУЛИЦЯ ВАЛОВА, будинок 11",19390819
припинено,"Акціонерний комерційний банк ""Слобожанщина""",,,,"244030, м. Суми, вул. Кірова, 4",1400564
припинено,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ КОМЕРЦІЙНИЙ БАНК ""ВОЛОДИМИРСЬКИЙ""",65.12.1 КОМЕРЦІЙНІ БАНКИ,РЯБОВ ОЛЕГ АНАТОЛІЙОВИЧ,"ТОВ КБ ""ВОЛОДИМИРСЬКИЙ""","40030, Сумська обл., місто Суми, Зарічний район, ПЛОЩА НЕЗАЛЕЖНОСТІ, будинок 10",26120084
